checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
<0,24,existing paid,television,1282,<100,1<=X<4,4.0,female div/dep/mar,none,2,car,32,none,own,1,unskilled,1,,,bad
no checking account,24,no credits taken/all paid back duly,television,2424,no known savings account,>=7,4.0,male single,none,4,life insurance,53,none,own,2,skilled,1,,,good
<0,30,no credits taken/all paid back duly,furniture/equipment,8072,no known savings account,<1,2.0,male single,none,3,car,25,bank,own,3,skilled,1,,,good
0<=X<20000,24,existing paid,car,12579,<100,>=7,4.0,female div/dep/mar,none,2,no known property,44,none,free,1,high qualif/self emp/mgmt,1,,,bad
no checking account,24,existing paid,television,3430,100<=X<1000,>=7,3.0,male single,none,2,car,31,none,own,1,skilled,2,,,good
no checking account,9,no credits taken/all paid back duly,car,2134,<100,1<=X<4,4.0,male single,none,4,car,48,none,own,3,skilled,1,,,good
<0,6,existing paid,television,2647,100<=X<1000,1<=X<4,2.0,male single,none,3,real estate,44,none,rent,1,skilled,2,,,good
<0,10,no credits taken/all paid back duly,car,2241,<100,<1,1.0,male single,none,3,real estate,48,none,rent,2,unskilled,2,,,good
0<=X<20000,12,no credits taken/all paid back duly,car,1804,<100,<1,3.0,male single,none,4,life insurance,44,none,own,1,skilled,1,,,good
no checking account,10,no credits taken/all paid back duly,furniture/equipment,2069,no known savings account,1<=X<4,2.0,male mar/wid,none,1,car,26,none,own,2,skilled,1,,,good
<0,6,existing paid,furniture/equipment,1374,<100,1<=X<4,1.0,male single,none,2,real estate,36,bank,own,1,unskilled,1,,,good
no checking account,6,no credits taken/all paid back duly,television,426,<100,>=7,4.0,male mar/wid,none,4,car,39,none,own,1,unskilled,1,,,good
>=20000,12,no credits taken/all paid back duly,television,409,>=10000,1<=X<4,3.0,female div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,,,good
0<=X<20000,7,existing paid,television,2415,<100,1<=X<4,3.0,male single,guarantor,2,real estate,34,none,own,1,skilled,1,,,good
<0,60,no credits taken/all paid back duly,furniture/equipment,6836,<100,>=7,3.0,male single,none,4,no known property,63,none,own,2,skilled,1,,,bad
0<=X<20000,18,existing paid,furniture/equipment,1913,>=10000,<1,3.0,male mar/wid,none,3,real estate,36,bank,own,1,skilled,1,,,good
<0,24,existing paid,furniture/equipment,4020,<100,1<=X<4,2.0,male single,none,2,car,27,stores,own,1,skilled,1,,,good
0<=X<20000,18,existing paid,car,5866,<100,1<=X<4,2.0,male single,none,2,car,30,none,own,2,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,1264,no known savings account,>=7,4.0,male single,none,4,no known property,57,none,rent,1,unskilled,1,,,good
>=20000,12,existing paid,furniture/equipment,1474,<100,<1,4.0,female div/dep/mar,none,1,life insurance,33,bank,own,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,45,no credits taken/all paid back duly,television,4746,<100,<1,4.0,male single,none,2,life insurance,25,none,own,2,unskilled,1,,,bad
no checking account,48,no credits taken/all paid back duly,furniture/equipment,6110,<100,1<=X<4,1.0,male single,none,3,no known property,31,bank,free,1,skilled,1,,,good
>=20000,18,existing paid,television,2100,<100,1<=X<4,4.0,male single,co-applicant,2,real estate,37,stores,own,1,skilled,1,,,bad
>=20000,10,existing paid,furniture/equipment,1225,<100,1<=X<4,2.0,male single,none,2,car,37,none,own,1,skilled,1,,,good
0<=X<20000,9,existing paid,television,458,<100,1<=X<4,4.0,male single,none,3,real estate,24,none,own,1,skilled,1,,,good
no checking account,30,existing paid,television,2333,100<=X<1000,>=7,4.0,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,,,good
0<=X<20000,12,existing paid,television,1158,100<=X<1000,1<=X<4,3.0,male div/sep,none,1,car,26,none,own,1,skilled,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,6204,<100,1<=X<4,2.0,male single,none,4,real estate,44,none,own,1,unskilled,2,,,good
<0,30,no credits taken/all paid back duly,car,6187,<100,4<=X<7,1.0,male mar/wid,none,4,car,24,none,rent,2,skilled,1,,,good
<0,48,no credits taken/all paid back duly,car,6143,<100,>=7,4.0,female div/dep/mar,none,4,no known property,58,stores,free,2,unskilled,1,,,bad
no checking account,11,no credits taken/all paid back duly,car,1393,<100,<1,4.0,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,,,good
no checking account,36,existing paid,television,2299,100<=X<1000,>=7,4.0,male single,none,4,car,39,none,own,1,skilled,1,,,good
<0,6,existing paid,car,1352,100<=X<1000,unemployed,1.0,female div/dep/mar,none,2,life insurance,23,none,rent,1,unskilled,1,,,good
no checking account,11,no credits taken/all paid back duly,car,7228,<100,1<=X<4,1.0,male single,none,4,life insurance,39,none,own,2,unskilled,1,,,good
no checking account,12,existing paid,television,2073,<100,1<=X<4,4.0,female div/dep/mar,co-applicant,2,real estate,28,none,own,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,furniture/equipment,2333,no known savings account,<1,4.0,male single,none,2,life insurance,29,bank,own,1,unskilled,1,,,good
0<=X<20000,27,no credits taken/all paid back duly,car,5965,<100,>=7,1.0,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,,,good
no checking account,12,existing paid,television,1262,<100,1<=X<4,3.0,male single,none,2,car,25,none,own,1,skilled,1,,,good
no checking account,18,existing paid,car,3378,no known savings account,1<=X<4,2.0,male single,none,1,life insurance,31,none,own,1,skilled,1,,,good
0<=X<20000,36,no credits taken/all paid back duly,car,2225,<100,>=7,4.0,male single,none,4,no known property,57,bank,free,2,skilled,1,,,bad
no checking account,6,no credits taken/all paid back duly,car,783,no known savings account,1<=X<4,1.0,male single,guarantor,2,real estate,26,stores,own,1,unskilled,2,,,good
0<=X<20000,12,existing paid,television,6468,no known savings account,unemployed,2.0,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,,,bad
no checking account,36,no credits taken/all paid back duly,television,9566,<100,1<=X<4,2.0,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,,,good
>=20000,18,existing paid,car,1961,<100,>=7,3.0,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,36,no credits taken/all paid back duly,furniture/equipment,6229,<100,<1,4.0,female div/dep/mar,co-applicant,4,no known property,23,none,rent,2,unskilled,1,,,bad
0<=X<20000,9,existing paid,furniture/equipment,1391,<100,1<=X<4,2.0,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,,,good
0<=X<20000,15,no credits taken/all paid back duly,television,1537,no known savings account,>=7,4.0,male single,guarantor,4,real estate,50,none,own,2,skilled,1,,,good
0<=X<20000,36,no credits taken/all paid back duly,furniture/equipment,1953,<100,>=7,4.0,male single,none,4,no known property,61,none,free,1,high qualif/self emp/mgmt,1,,,bad
0<=X<20000,48,no credits taken/all paid back duly,furniture/equipment,14421,<100,1<=X<4,2.0,male single,none,2,car,25,none,own,1,skilled,1,,,bad
no checking account,24,existing paid,television,3181,<100,<1,4.0,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,,,good
no checking account,27,existing paid,furniture/equipment,5190,no known savings account,>=7,4.0,male single,none,4,life insurance,48,none,own,4,skilled,2,,,good
no checking account,12,existing paid,television,2171,<100,<1,2.0,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,,,good
0<=X<20000,12,existing paid,car,1007,>=10000,1<=X<4,4.0,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,,,good
no checking account,36,existing paid,furniture/equipment,1819,<100,1<=X<4,4.0,male single,none,4,no known property,37,stores,free,1,skilled,1,,,bad
no checking account,36,existing paid,television,2394,no known savings account,1<=X<4,4.0,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,,,good
no checking account,36,existing paid,car,8133,<100,1<=X<4,1.0,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,,,good
no checking account,7,no credits taken/all paid back duly,television,730,no known savings account,>=7,4.0,male single,none,2,life insurance,46,none,rent,2,unskilled,1,,,good
<0,8,no credits taken/all paid back duly,furniture/equipment,1164,<100,>=7,3.0,male single,none,4,no known property,51,bank,free,2,high qualif/self emp/mgmt,2,,,good
0<=X<20000,42,no credits taken/all paid back duly,furniture/equipment,5954,<100,4<=X<7,2.0,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled,1,,,good
<0,36,existing paid,furniture/equipment,1977,no known savings account,>=7,4.0,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,,,bad
<0,12,no credits taken/all paid back duly,car,1526,<100,>=7,4.0,male single,none,4,no known property,66,none,free,2,high qualif/self emp/mgmt,1,,,good
<0,42,existing paid,television,3965,<100,<1,4.0,male single,none,3,car,34,none,own,1,skilled,1,,,bad
0<=X<20000,11,no credits taken/all paid back duly,television,4771,<100,4<=X<7,2.0,male single,none,4,life insurance,51,none,own,1,skilled,1,,,good
no checking account,54,no credits taken/all paid back duly,car,9436,no known savings account,1<=X<4,2.0,male single,none,2,life insurance,39,none,own,1,unskilled,2,,,good
0<=X<20000,30,existing paid,furniture/equipment,3832,<100,<1,2.0,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,,,good
no checking account,24,existing paid,television,5943,no known savings account,<1,1.0,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,,,bad
no checking account,15,existing paid,television,1213,100<=X<1000,>=7,4.0,male single,none,3,life insurance,47,stores,own,1,skilled,1,,,good
no checking account,18,existing paid,furniture/equipment,1568,<100,1<=X<4,3.0,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled,1,,,good
<0,24,existing paid,furniture/equipment,1755,<100,>=7,4.0,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled,1,,,good
<0,10,existing paid,television,2315,<100,>=7,3.0,male single,none,4,real estate,52,none,own,1,unskilled,1,,,good
no checking account,12,no credits taken/all paid back duly,furniture/equipment,1412,<100,1<=X<4,4.0,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,1295,<100,<1,4.0,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,,,good
0<=X<20000,36,existing paid,furniture/equipment,12612,<100,1<=X<4,1.0,male single,none,4,no known property,47,none,free,1,skilled,2,,,bad
<0,18,existing paid,car,2249,<100,4<=X<7,4.0,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,,,good
<0,12,no credits taken/all paid back duly,furniture/equipment,1108,<100,4<=X<7,4.0,male single,none,3,real estate,28,none,own,2,skilled,1,,,bad
no checking account,12,no credits taken/all paid back duly,television,618,<100,>=7,4.0,male single,none,4,real estate,56,none,own,1,skilled,1,,,good
<0,12,no credits taken/all paid back duly,car,1409,<100,>=7,4.0,male single,none,3,real estate,54,none,own,1,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,television,797,no known savings account,>=7,4.0,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled,2,,,bad
>=20000,24,no credits taken/all paid back duly,furniture/equipment,3617,no known savings account,>=7,4.0,male single,co-applicant,4,no known property,20,none,rent,2,skilled,1,,,good
0<=X<20000,12,existing paid,car,1318,>=10000,>=7,4.0,male single,none,4,real estate,54,none,own,1,skilled,1,,,good
0<=X<20000,54,no credits taken/all paid back duly,furniture/equipment,15945,<100,<1,3.0,male single,none,4,no known property,58,none,rent,1,skilled,1,,,bad
no checking account,12,no credits taken/all paid back duly,furniture/equipment,2012,no known savings account,4<=X<7,4.0,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,,,good
0<=X<20000,18,existing paid,furniture/equipment,2622,<100,1<=X<4,4.0,male single,none,4,car,34,none,own,1,skilled,1,,,good
0<=X<20000,36,no credits taken/all paid back duly,television,2337,<100,>=7,4.0,male single,none,4,real estate,36,none,own,1,skilled,1,,,good
0<=X<20000,20,no credits taken/all paid back duly,car,7057,no known savings account,4<=X<7,3.0,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,,,good
no checking account,24,existing paid,car,1469,<100,>=7,4.0,male mar/wid,none,4,real estate,41,none,rent,1,unskilled,1,,,good
0<=X<20000,36,existing paid,television,2323,<100,4<=X<7,4.0,male single,none,4,car,24,none,rent,1,skilled,1,,,good
no checking account,6,no credits taken/all paid back duly,television,932,<100,1<=X<4,3.0,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,,,good
0<=X<20000,9,no credits taken/all paid back duly,furniture/equipment,1919,<100,4<=X<7,4.0,male single,none,3,car,35,none,rent,1,skilled,1,,,good
no checking account,12,existing paid,car,2445,no known savings account,<1,2.0,male mar/wid,none,4,car,26,none,rent,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,furniture/equipment,11938,<100,1<=X<4,2.0,male single,co-applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,,,bad
no checking account,18,no credits taken/all paid back duly,car,6458,<100,>=7,2.0,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,,,bad
0<=X<20000,12,existing paid,car,6078,<100,4<=X<7,2.0,male single,none,2,car,32,none,own,1,skilled,1,,,good
<0,24,existing paid,furniture/equipment,7721,no known savings account,<1,1.0,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,,,good
0<=X<20000,14,existing paid,furniture/equipment,1410,100<=X<1000,>=7,1.0,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,,,good
0<=X<20000,6,no credits taken/all paid back duly,furniture/equipment,1449,<100,>=7,1.0,male div/sep,none,2,car,31,bank,own,2,skilled,2,,,good
>=20000,15,existing paid,furniture/equipment,392,<100,<1,4.0,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,,,good
0<=X<20000,18,existing paid,car,6260,<100,4<=X<7,3.0,male single,none,3,real estate,28,none,rent,1,unskilled,1,,,good
no checking account,36,no credits taken/all paid back duly,car,7855,<100,1<=X<4,4.0,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,,,bad
<0,12,existing paid,television,1680,100<=X<1000,>=7,3.0,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,,,good
no checking account,48,no credits taken/all paid back duly,television,3578,no known savings account,>=7,4.0,male single,none,1,real estate,47,none,own,1,skilled,1,,,good
<0,42,existing paid,television,7174,no known savings account,4<=X<7,4.0,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,,,bad
<0,10,no credits taken/all paid back duly,furniture/equipment,2132,no known savings account,<1,2.0,female div/dep/mar,co-applicant,3,real estate,27,none,rent,2,skilled,1,,,good
<0,33,no credits taken/all paid back duly,furniture/equipment,4281,100<=X<1000,1<=X<4,1.0,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,,,bad
0<=X<20000,12,no credits taken/all paid back duly,car,2366,100<=X<1000,4<=X<7,3.0,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,21,existing paid,television,1835,<100,1<=X<4,3.0,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,,,bad
no checking account,24,no credits taken/all paid back duly,car,3868,<100,>=7,4.0,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,,,good
no checking account,12,existing paid,furniture/equipment,1768,<100,1<=X<4,3.0,male single,none,2,real estate,24,none,rent,1,unskilled,1,,,good
>=20000,10,no credits taken/all paid back duly,car,781,<100,>=7,4.0,male single,none,4,no known property,63,none,free,2,skilled,1,,,good
0<=X<20000,18,existing paid,furniture/equipment,1924,no known savings account,<1,4.0,female div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,,,bad
<0,12,no credits taken/all paid back duly,car,2121,<100,1<=X<4,4.0,male single,none,2,life insurance,30,none,own,2,skilled,1,,,good
<0,12,existing paid,television,701,<100,1<=X<4,4.0,male mar/wid,none,2,real estate,40,none,own,1,unskilled,1,,,good
0<=X<20000,12,existing paid,furniture/equipment,639,<100,1<=X<4,4.0,male single,none,2,car,30,none,own,1,skilled,1,,,bad
0<=X<20000,12,no credits taken/all paid back duly,car,1860,<100,unemployed,4.0,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,,,good
<0,12,no credits taken/all paid back duly,car,3499,<100,1<=X<4,3.0,female div/dep/mar,co-applicant,2,real estate,29,none,own,2,skilled,1,,,bad
0<=X<20000,48,existing paid,car,8487,no known savings account,4<=X<7,1.0,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,,,good
<0,36,no credits taken/all paid back duly,furniture/equipment,6887,<100,1<=X<4,4.0,male single,none,3,life insurance,29,stores,own,1,skilled,1,,,bad
no checking account,15,existing paid,furniture/equipment,2708,<100,<1,2.0,male single,none,3,life insurance,27,bank,own,2,unskilled,1,,,good
no checking account,18,existing paid,furniture/equipment,1984,<100,1<=X<4,4.0,male single,none,4,no known property,47,bank,free,2,skilled,1,,,good
no checking account,60,existing paid,television,10144,<100,4<=X<7,2.0,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,television,1240,no known savings account,>=7,4.0,female div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,,,good
no checking account,27,no credits taken/all paid back duly,car,8613,>=10000,1<=X<4,2.0,male single,none,2,car,27,none,own,2,skilled,1,,,good
0<=X<20000,12,existing paid,television,766,100<=X<1000,1<=X<4,4.0,male single,none,3,real estate,66,none,own,1,unskilled,1,,,bad
0<=X<20000,15,no credits taken/all paid back duly,television,2728,no known savings account,4<=X<7,4.0,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,,,good
>=20000,12,existing paid,television,1881,<100,1<=X<4,2.0,female div/dep/mar,none,2,car,44,none,rent,1,unskilled,1,,,good
>=20000,6,existing paid,car,709,>=10000,<1,2.0,male mar/wid,none,2,real estate,27,none,own,1,unskilled,1,,,good
0<=X<20000,36,existing paid,television,4795,<100,<1,4.0,female div/dep/mar,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,27,existing paid,television,3416,<100,1<=X<4,3.0,male single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,,,good
<0,18,existing paid,furniture/equipment,2462,<100,1<=X<4,2.0,male single,none,2,car,22,none,own,1,skilled,1,,,bad
no checking account,21,no credits taken/all paid back duly,furniture/equipment,2288,<100,<1,4.0,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,,,good
0<=X<20000,48,no credits taken/all paid back duly,furniture/equipment,3566,<100,4<=X<7,4.0,male single,none,2,car,30,none,own,1,skilled,1,,,good
<0,6,no credits taken/all paid back duly,car,860,<100,>=7,1.0,female div/dep/mar,none,4,no known property,39,none,own,2,skilled,1,,,good
no checking account,12,no credits taken/all paid back duly,car,682,<100,4<=X<7,4.0,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,,,good
<0,36,no credits taken/all paid back duly,furniture/equipment,5371,<100,1<=X<4,3.0,male single,guarantor,2,life insurance,28,none,own,2,skilled,1,,,good
no checking account,18,no credits taken/all paid back duly,television,1582,>=10000,>=7,4.0,male single,none,4,car,46,none,own,2,skilled,1,,,good
no checking account,6,existing paid,television,1346,<100,>=7,2.0,male single,none,4,no known property,42,bank,free,1,skilled,2,,,good
no checking account,10,existing paid,television,1924,<100,1<=X<4,1.0,male single,none,4,life insurance,38,none,own,1,skilled,1,,,good
>=20000,36,existing paid,television,5848,<100,1<=X<4,4.0,male single,none,1,car,24,none,own,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,car,7758,>=10000,>=7,2.0,female div/dep/mar,none,4,no known property,29,none,rent,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,furniture/equipment,6967,<100,4<=X<7,4.0,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,,,good
<0,12,existing paid,furniture/equipment,1282,<100,1<=X<4,2.0,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,,,bad
<0,9,no credits taken/all paid back duly,furniture/equipment,1288,<100,>=7,3.0,male single,guarantor,4,real estate,48,none,own,2,skilled,2,,,good
<0,12,no credits taken/all paid back duly,furniture/equipment,339,<100,>=7,4.0,male mar/wid,none,1,car,45,bank,own,1,unskilled,1,,,good
0<=X<20000,24,existing paid,car,3512,<100,4<=X<7,2.0,male single,none,3,car,38,bank,own,2,skilled,1,,,good
no checking account,6,no credits taken/all paid back duly,television,1898,no known savings account,1<=X<4,1.0,male single,none,2,real estate,34,none,own,2,unskilled,2,,,good
no checking account,24,no credits taken/all paid back duly,television,2872,<100,>=7,3.0,male single,none,4,real estate,36,none,own,1,skilled,2,,,good
no checking account,18,no credits taken/all paid back duly,car,1055,<100,<1,4.0,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,,,good
no checking account,15,existing paid,furniture/equipment,1262,100<=X<1000,4<=X<7,4.0,male single,none,3,life insurance,36,none,own,2,skilled,1,,,good
0<=X<20000,10,existing paid,car,7308,<100,unemployed,2.0,male single,none,4,no known property,70,bank,free,1,high qualif/self emp/mgmt,1,,,good
no checking account,36,existing paid,car,909,100<=X<1000,>=7,4.0,male single,none,4,life insurance,36,none,own,1,skilled,1,,,good
no checking account,6,existing paid,furniture/equipment,2978,100<=X<1000,1<=X<4,1.0,male single,none,2,car,32,none,own,1,skilled,1,,,good
<0,18,existing paid,furniture/equipment,1131,<100,unemployed,4.0,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,,,bad
0<=X<20000,11,existing paid,furniture/equipment,1577,>=10000,<1,4.0,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,,,good
no checking account,24,existing paid,furniture/equipment,3972,<100,4<=X<7,2.0,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,furniture/equipment,1935,<100,>=7,4.0,male div/sep,none,4,real estate,31,none,own,2,skilled,1,,,bad
<0,15,no credits taken/all paid back duly,car,950,<100,>=7,4.0,male single,none,3,car,33,none,rent,2,skilled,2,,,bad
no checking account,12,existing paid,furniture/equipment,763,<100,1<=X<4,4.0,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,,,good
0<=X<20000,24,no credits taken/all paid back duly,furniture/equipment,2064,<100,unemployed,3.0,female div/dep/mar,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,,,bad
0<=X<20000,8,existing paid,television,1414,<100,1<=X<4,4.0,male single,guarantor,2,real estate,33,none,own,1,skilled,1,,,good
<0,21,no credits taken/all paid back duly,furniture/equipment,3414,<100,<1,2.0,male single,none,1,life insurance,26,none,own,2,skilled,1,,,bad
no checking account,30,no credits taken/all paid back duly,car,7485,no known savings account,unemployed,4.0,female div/dep/mar,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,,,bad
<0,12,existing paid,furniture/equipment,2577,<100,1<=X<4,2.0,male div/sep,none,1,car,42,none,own,1,skilled,1,,,good
<0,6,no credits taken/all paid back duly,television,338,100<=X<1000,>=7,4.0,male single,none,4,car,52,none,own,2,skilled,1,,,good
no checking account,12,existing paid,television,1963,<100,4<=X<7,4.0,male single,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,,,good
<0,21,no credits taken/all paid back duly,car,571,<100,>=7,4.0,male single,none,4,real estate,65,none,own,2,skilled,1,,,good
no checking account,36,no credits taken/all paid back duly,furniture/equipment,9572,<100,<1,1.0,male div/sep,none,1,car,28,none,own,2,skilled,1,,,bad
0<=X<20000,36,no credits taken/all paid back duly,furniture/equipment,4455,<100,1<=X<4,2.0,male div/sep,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,,,bad
<0,21,no credits taken/all paid back duly,car,1647,no known savings account,1<=X<4,4.0,male single,none,2,life insurance,40,none,own,2,unskilled,2,,,bad
no checking account,24,no credits taken/all paid back duly,furniture/equipment,3777,>=10000,1<=X<4,4.0,male single,none,4,real estate,50,none,own,1,skilled,1,,,good
0<=X<20000,18,no credits taken/all paid back duly,car,884,<100,>=7,4.0,male single,none,4,car,36,bank,own,1,skilled,2,,,bad
no checking account,15,no credits taken/all paid back duly,television,1360,<100,1<=X<4,4.0,male single,none,2,life insurance,31,none,own,2,skilled,1,,,good
0<=X<20000,9,no credits taken/all paid back duly,car,5129,<100,>=7,2.0,female div/dep/mar,none,4,no known property,74,bank,free,1,high qualif/self emp/mgmt,2,,,bad
0<=X<20000,16,no credits taken/all paid back duly,car,1175,<100,unemployed,2.0,male single,none,3,car,68,none,free,3,unskilled,1,,,good
<0,12,existing paid,television,674,<100,4<=X<7,4.0,male mar/wid,none,1,life insurance,20,none,own,1,skilled,1,,,bad
0<=X<20000,18,no credits taken/all paid back duly,furniture/equipment,3244,<100,1<=X<4,1.0,female div/dep/mar,none,4,car,33,bank,own,2,skilled,1,,,good
no checking account,24,existing paid,furniture/equipment,4591,>=10000,1<=X<4,2.0,male single,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,,,bad
0<=X<20000,48,no credits taken/all paid back duly,furniture/equipment,3844,<100,4<=X<7,4.0,male single,none,4,no known property,34,none,free,1,unskilled,2,,,bad
0<=X<20000,27,existing paid,furniture/equipment,3915,<100,1<=X<4,4.0,male single,none,2,car,36,none,own,1,skilled,2,,,bad
no checking account,6,existing paid,television,2108,<100,4<=X<7,2.0,male mar/wid,none,2,real estate,29,none,rent,1,skilled,1,,,good
0<=X<20000,45,existing paid,television,3031,<100,1<=X<4,4.0,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,,,bad
